Animal,Title ,Author ,Illustrator,First published,Pages,Age range,Grade range / Lexile,Lexile,ISBN,Series,Titles in Series,Publisher,Subject / Genre,Awards,Goodreads rating,Amazon rating,Synopsis (using AI),Amazon
Australian,The Great Possum Creek Bush Fire,Dan Vallely,Yvonne Vallely ,"January 01, 2003",68,Baby - 2 years,,,978-1876553074,,,Woollahra Sales & Imports,,,4.57,5,,https://www.amazon.com/Great-Possum-Creek-Bush-Fire/dp/0867770392
bear,Does a Bear Poo in the Woods?,Jonny Leighton ,Mike Byrne,"July 08, 2021",32,Baby - 5 years,PreK to 3,,978-1780557151,,,Buster Books,Picture Books; Animals; Humor; Childrens; toilet training,,3.87,4.9,,https://www.amazon.com/Does-Bear-Poo-Woods/dp/1780557159
bear,Goggles: The Bear Who Dreamed of Flying (#1 of 3),Jonathan Gunson ,Richard Robinson,"October 08, 2019",32,3 - 6 years,,,978-0473465438,,,Creative World Ltd (NZ),Childrens; Picture Books,,4.6,4.7,,https://www.amazon.com/Goggles-Bear-Who-Dreamed-Flying/dp/0473465434/ref=monarch_sidesheet
"bear, bees",Goggles and the Magical Bearplane (#2 of 3),Jonathan Gunson ,Richard Robinson,"September 26, 2020",39,3 - 7 years,,,978-0473534424,,,Creative World Limited ,,,4.45,4.8,,https://www.amazon.com/Goggles-Magical-Bearplane-Jonathan-Gunson/dp/0473534428/ref=sr_1_1?crid=XRAEI1HOUP6N&dib=eyJ2IjoiMSJ9.0IFa7RRERjI6owsldOBKICpiEBNtHH9G-gzJFuUGtUrW3Nyw1mamJZ90VR9PIyvclTcJx9nH_qPNOQdpB8F3OkHJc0CUkQpAfa4mrLTaQ8GDlUkLJxqD6YbmMEacp254yk5X2FTlLhffyWpbz7DxFEiBOca6uz5swXIRDhfEsSK8ythzBTWu2FvRDZVSDAb2FpsDGkH-oIPVNAgUwQwY1w.ZeLOybLeK4ZEhgqlli6T5UMA0N8jePi8KHFiKzxEktQ&dib_tag=se&keywords=Goggles+and+the+Magical+Bearplane&qid=1714249951&s=books&sprefix=goggles+and+the+magical+bearplane%2Cstripbooks%2C71&sr=1-1
"bear, bees",Goggles and the Teddy Bears' Picnic (#3 of 3),Jonathan Gunson ,Richard Robinson,"November 23, 2021",37,3 - 7 years,PreK to 1,,978-0473587550,,,Creative World Limited ,,,4.36,5,,https://www.amazon.com/Goggles-Teddy-Picnic-Jonathan-Gunson/dp/0473587556/ref=monarch_sidesheet
bear,The Grizzly Bear Who Lost His GRRRRR!,Rob Biddulph,Rob Biddulph,"November 01, 2016",40,4 - 8 years,,AD520L,978-0062367259,,,HarperCollins;,Picture Books; Childrens; Animals; Humor; Fiction; Storytime,,4.02,4.8,,https://www.amazon.com/Grizzly-Bear-Who-Lost-GRRRRR/dp/0062367250/ref=monarch_sidesheet
"bear, moose, lion, zebra, sheep",The Very Cranky Bear,Nick Bland ,Nick Bland ,"March 01, 2008",32,2 - 4 years,PreK - K,AD510L,978-0545612692,Yes,,Orchard Books,Picture Books; Childrens; Animals; Storytime; Fiction; Humor; Emotion; Kids; Poetry; France,"Winner of the Koala Awards, Picture Book, 2013 ",4.3,4.8,,https://www.amazon.com/Very-Cranky-Bear-Nick-Bland/dp/0545612691/ref=monarch_sidesheet
"bear, flea",The Very Itchy Bear (The Bear #2),Nick Bland ,Nick Bland ,"January 01,2010",24,,,,978-0545291590,Yes,,Scholastic,Picture Books; Childrens; Animals; Fiction; Storytime; Humor; Teaching; School,,4.04,4.5,,https://www.amazon.com/gp/product/0545291593/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0545291593&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"bear, polar bear",The Very Hungry Bear (The Bear #3),Nick Bland ,Nick Bland ,"January 01,2012",28,,PreK - 2,AD640L,978-1742831701,Yes,,Scholastic,Picture Books; Childrens; Animals; Fiction; Teaching; Humor; Food; Storytime; ,Winner of the ABIA Book of the Year for Younger Children ,4.16,4.7,,https://www.amazon.com/The-Very-Hungry-Bear/dp/1742831702/ref=sr_1_1?crid=3E49FZ0YDLHR0&dib=eyJ2IjoiMSJ9.e1QTa9vXoqfUsyuXcU8BmxT8-VIgLBtEftf_9pJzEWwjDjTXdiZuU5HRN3_0Nt-o7Pu66vrGTctel7JmJWiD-ih6CsVD-vRgjpq3msY-tW4ogGQWSCXb8WMyrRrvlEmQ3V97e8unEbdEwZeGQ2wOeVnIFS_LbXztJeadU_z47k0MV12xrYyNSrLScZNatOJwHb-ojboN4Uvk_J3qkfRGXftmqEyDm5LDYHkakm3rLeI.1UjKjXOdfQOd5vVfK8lLU1yESXq0VsAv3szGAX7WAI0&dib_tag=se&keywords=The+Very+Hungry+Bear&qid=1714270185&s=books&sprefix=the+very+hungry+bear%2Cstripbooks%2C117&sr=1-1
"bear, buffalo",The Very Brave Bear (The Bear #4),Nick Bland ,Nick Bland ,"January 01,2013",28,,,,978-1743626023,Yes,,Scholastic Australia,Picture Books; Childrens; Animals; Fiction; Storytime; School; Kids; Teaching; Poetry; ,,4.18,4.7,,https://www.amazon.com/The-Very-Brave-Bear/dp/1743626029/ref=sr_1_1?crid=V19WDSUV2UVZ&dib=eyJ2IjoiMSJ9.9nCQqA6IeetrJCDzPUmAj-x5QoPiJfmAfehcn-H3vFEmgy0_HIs7N66LbR5ofBKjTK0HG2N_Uz4tmWJodkrPXWCOrGZBHMVJCwks8IdBORO2uP5WMnn2WbwZG6VOH2gPBFoKsY3YWuxI9lobfiCFoBZgYU5tHHTpq9A2j8DObIqMmEjaosAkdsufkXP9yFfKL59dXZ5YHeLulUgVh0u1yaChBKQ6__kjKoVMplAPb5U.BBiTJSyDJ2dkIn1cGejZp6K49jDMnaL-60xI2EiDo1M&dib_tag=se&keywords=The+Very+Brave+Bear&qid=1714270633&s=books&sprefix=the+very+brave+bear%2Cstripbooks%2C189&sr=1-1
